Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment,Comment
"Book Information: ""Save this information for next time"" checkbox is disabled in the Contact Information form",QATC-921359,3822104,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 8:12 AM,05/May/25 8:14 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click Book Now and proceed through the booking steps

 # On the Contact Information form in the Session Information page, locate the ""Save this information for next time"" checkbox

*Actual Result:* ""Save this information for next time"" checkbox is disabled in the Contact Information form - see here [^Screenshot 2025-05-05 110310.png]

*Expected result:* According to the documentation, the checkbox should be enabled by ** default, allowing the user to select it. When selected, the user's contact information should be saved for future bookings - see here [^Screenshot 2025-05-05 110540.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 8:10 AM;m13.hasan;Screenshot 2025-05-05 110310.png;https://jira.a1qa.com/secure/attachment/2640408/Screenshot+2025-05-05+110310.png","05/May/25 8:10 AM;m13.hasan;Screenshot 2025-05-05 110540.png;https://jira.a1qa.com/secure/attachment/2640407/Screenshot+2025-05-05+110540.png","05/May/25 8:14 AM;m13.hasan;Video 2025-05-05 11.13.35.mp4;https://jira.a1qa.com/secure/attachment/2640409/Video+2025-05-05+11.13.35.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u9k:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,"05/May/25 8:14 AM;m13.hasan;*Attachment correction:*

*Actual result: [^Video 2025-05-05 11.13.35.mp4]*;;;",
"Book Information: ""Keep me up to date on news"" checkbox is checked by default in the Contact Information form",QATC-921358,3822103,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 8:04 AM,05/May/25 8:04 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:* 
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click Book Now and proceed through the booking process

 # On the Contact Information form in the Book Information page, locate the ""Keep me up to date on news"" checkbox - see here [^Screenshot 2025-05-05 110310.png]

*Actual result:* ""Keep me up to date on news"" checkbox is checked by default in the Contact Information 

*Expected result:* As per the documentation, the ""Keep me up to date on news"" checkbox should be unchecked by default on the Contact Information form - see here [^Screenshot 2025-05-05 105530.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 8:01 AM;m13.hasan;Screenshot 2025-05-05 105530.png;https://jira.a1qa.com/secure/attachment/2640406/Screenshot+2025-05-05+105530.png","05/May/25 8:03 AM;m13.hasan;Screenshot 2025-05-05 110310.png;https://jira.a1qa.com/secure/attachment/2640405/Screenshot+2025-05-05+110310.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u9c:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Book Information: Mini Outdoor and Standard session photos appear in each other’s positions in the session information section,QATC-921357,3822102,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 7:48 AM,05/May/25 7:48 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click Book Now for both Mini Outdoor and Standard sessions separately

 # Navigate to the Booking Information page

 # Observe the photo displayed under Session Information -see here [^Screenshot 2025-05-05 103751.png] &  [^Screenshot 2025-05-05 103635.png]

*Actual result:* Mini Outdoor and Standard session photos appear in each other’s positions in the session information section

*Expected result:* Each session should display its correct photo in the ** Session Information section, as specified in the documentation - see here [^Screenshot 2025-05-05 104725.png] & [^Screenshot 2025-05-05 104702.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 7:45 AM;m13.hasan;Screenshot 2025-05-05 103635.png;https://jira.a1qa.com/secure/attachment/2640404/Screenshot+2025-05-05+103635.png","05/May/25 7:45 AM;m13.hasan;Screenshot 2025-05-05 103751.png;https://jira.a1qa.com/secure/attachment/2640403/Screenshot+2025-05-05+103751.png","05/May/25 7:48 AM;m13.hasan;Screenshot 2025-05-05 104702.png;https://jira.a1qa.com/secure/attachment/2640402/Screenshot+2025-05-05+104702.png","05/May/25 7:48 AM;m13.hasan;Screenshot 2025-05-05 104725.png;https://jira.a1qa.com/secure/attachment/2640401/Screenshot+2025-05-05+104725.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u94:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Standard Session: The total session cost is calculated using $250 as the base fee for the Standard Session instead of $650,QATC-921356,3822101,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 7:35 AM,05/May/25 7:35 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click the Book Now button for the Standard Session

 # Proceed with booking by selecting options and clicking Book button

 # Observe the calculated Total Amount in the Booking Information page

*Actual result:* The total session cost is calculated using $250 as the base fee for the Standard Session instead of $650 - see here [^Video 2025-05-05 10.32.49.mp4]

*Expected result:* The total session cost should be calculated based on the correct base session fee of $650 for the Standard Session, as specified in the documentation - see here [^Screenshot 2025-05-05 083409.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 7:32 AM;m13.hasan;Screenshot 2025-05-05 083409.png;https://jira.a1qa.com/secure/attachment/2640400/Screenshot+2025-05-05+083409.png","05/May/25 7:33 AM;m13.hasan;Video 2025-05-05 10.32.49.mp4;https://jira.a1qa.com/secure/attachment/2640399/Video+2025-05-05+10.32.49.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u8w:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Standard Session: The Additional Subjects dropdown displays only 7 options (1 to 7) instead of 10,QATC-921355,3822100,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 7:22 AM,05/May/25 7:22 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click the Book Now button for the Standard Session

 # Open the Additional Subjects dropdown

 # Count the number of available options - see here [^Screenshot 2025-05-05 102140.png]

*Actual Result:* The Additional Subjects dropdown displays only 7 options (1 to 7) instead of 10 

*Expected Result:* The Additional Subjects dropdown should display 10 options, as specified in the documentation","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 7:22 AM;m13.hasan;Screenshot 2025-05-05 102140.png;https://jira.a1qa.com/secure/attachment/2640398/Screenshot+2025-05-05+102140.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u8o:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Book Session: Standard Session fee displayed as $250 instead of $650 as specified,QATC-921342,3822086,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 5:34 AM,05/May/25 5:34 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click on the Book Now button and enter the Standard Session

 # Pay attention to the Book Session page, where the Booking Amount is shown - see here [^Screenshot 2025-05-05 081827.png]

*Actual result:* Standard Session fee displayed as $250 instead of $650 as specified

*Expected result:* The session fee for the Standard Session on the Book Session page should be displayed as $650, as specified in the documentation - see here [^Screenshot 2025-05-05 083409.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 5:33 AM;m13.hasan;Screenshot 2025-05-05 081827.png;https://jira.a1qa.com/secure/attachment/2640372/Screenshot+2025-05-05+081827.png","05/May/25 5:34 AM;m13.hasan;Screenshot 2025-05-05 083409.png;https://jira.a1qa.com/secure/attachment/2640371/Screenshot+2025-05-05+083409.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u5k:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Book Session: Additional Subjects Add $50 per Person Instead of $55 as Specified while booking the Mini Studio session,QATC-921337,3822081,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 5:14 AM,05/May/25 5:14 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps :*
 # Open the application: [https://photostudio.demohoster.com/]

 # Navigate to the Sessions module

 # Click on the Book Now button and enter the Mini Studio Session

 # Try to select any value from the Additional Subjects dropdown

 # Click the Book button and navigate to the Book Information page

 # Pay attention to the session information where the Total Calculated Amount is shown - see here  [^Video 2025-05-05 08.12.39.mp4]

*Actual result: Book Session:* Additional Subjects Add $50 per Person Instead of $55 as specified while booking the Mini Studio session

*Expected result:* Each additional subject should add $55 to the session fee as specified. The total amount should be calculated accordingly - see here [^Screenshot 2025-05-05 081212.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 5:13 AM;m13.hasan;Screenshot 2025-05-05 081212.png;https://jira.a1qa.com/secure/attachment/2640362/Screenshot+2025-05-05+081212.png","05/May/25 5:13 AM;m13.hasan;Video 2025-05-05 08.12.39.mp4;https://jira.a1qa.com/secure/attachment/2640363/Video+2025-05-05+08.12.39.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u4g:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Mini Studio Session: ""Option 6"" Appears Disabled in Additional Subjects Dropdown",QATC-921332,3822076,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,05/May/25 4:43 AM,05/May/25 4:43 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Sessions module
 # Click on the Book Now button and enter the Mini Studio Session
 # Try to select option 6 from the Additional Subjects dropdown
 # Pay attention to the response - see here [^Video 2025-05-05 07.35.42.mp4]

*Actual result:* ""Option 6"" Appears Disabled in the Additional Subjects Dropdown

Expected result: 

*Expected Result:* All options, including ""Option 6"" should be selectable in the dropdown list","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"05/May/25 4:43 AM;m13.hasan;Video 2025-05-05 07.35.42.mp4;https://jira.a1qa.com/secure/attachment/2640354/Video+2025-05-05+07.35.42.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1u3c:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Session Module: The search bar appears with an altered shape after navigating the Mini Studio, Mini Outdoor, and Standard session pages",QATC-921261,3821998,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 11:52 PM,04/May/25 11:52 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Sessions module
 # Click on the Book Now button and enter the Mini Studio, Mini Outdoor, and Standard Session
 # Notice the UI change in the search bar in the top-right corner - see here [^Video 2025-05-05 02.49.41.mp4]

*Actual result:* The search bar appears with an altered shape after navigating the Mini Studio, Mini Outdoor, and Standard sessions pages

*Expected result:* The search bar UI should remain visually consistent across all pages, including the Contact page","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"04/May/25 11:51 PM;m13.hasan;Video 2025-05-05 02.49.41.mp4;https://jira.a1qa.com/secure/attachment/2640225/Video+2025-05-05+02.49.41.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1tm8:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Session Module: ""Book Now"" Is a Hyperlink Instead of a Button in the Mini Studio, Mini Outdoor, and Standard Session",QATC-921257,3821994,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 11:39 PM,04/May/25 11:39 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Sessions module
 # Using Dev Tool, inspect the ""Book Now"" option for all three session types - see here [^Video 2025-05-05 02.05.02.mp4]

*Actual result:* ""Book Now"" Is a Hyperlink Instead of a Button in the Mini Studio, Mini Outdoor, and Standard Session - see here [^Screenshot 2025-05-05 020343.png]

*Expected result:* ""Book Now"" should be displayed as a button, as specified in the documentation - see here [^Screenshot 2025-05-05 015819.png], [^Screenshot 2025-05-05 015914.png] & [^Screenshot 2025-05-05 015954.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"04/May/25 11:38 PM;m13.hasan;Screenshot 2025-05-05 015819.png;https://jira.a1qa.com/secure/attachment/2640215/Screenshot+2025-05-05+015819.png","04/May/25 11:38 PM;m13.hasan;Screenshot 2025-05-05 015914.png;https://jira.a1qa.com/secure/attachment/2640214/Screenshot+2025-05-05+015914.png","04/May/25 11:38 PM;m13.hasan;Screenshot 2025-05-05 015954.png;https://jira.a1qa.com/secure/attachment/2640213/Screenshot+2025-05-05+015954.png","04/May/25 11:38 PM;m13.hasan;Screenshot 2025-05-05 020343.png;https://jira.a1qa.com/secure/attachment/2640216/Screenshot+2025-05-05+020343.png","04/May/25 11:37 PM;m13.hasan;Video 2025-05-05 02.05.02.mp4;https://jira.a1qa.com/secure/attachment/2640217/Video+2025-05-05+02.05.02.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1tlc:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
